DATA;ANO;TRIMESTRE;MES;DIRECAO;CONSIGNEE;CONSIGNEE_CNPJ;CONSIGNEE_TYPE;Classificacao Forwarder;FORWARDER;FORWARDER_CNPJ;FORWARDER_TYPE;Classificacao Notify;NOTIFY;NOTIFY_CNPJ;NOTIFY_RAIZ_CNPJ;NOTIFY_TYPE;SHIPPER;SHIPPER_CNPJ;SHIPPER_TYPE;CARRIER;MERCADORIA_NCM2;MERCADORIA_NCM4;CONTAINER;ORIGEM_TRADELANE;ORIGEM_COUNTRY;ORIGEM_PORTO;DESTINO_TRADELANE;DESTINO_COUNTRY;DESTINO_PORTO;TEUS;Negocios Com Craft 12M
22/01/2025;2025;1;JUL;IMPO;Silva Ltda.;17.680.594/0001-21;AGENTE;Z;da Luz Carvalho S.A.;51.043.862/0001-32;AGENTE;Fonseca;Fonseca;26.157.803/0001-48;26.157.803;FORNECEDOR;Carvalho;80.297.516/0001-89;FORNECEDOR;MSC;53 - DESCRIÇÃO NCM2;5352 - DESCRIÇÃO NCM4;ISO;AMERICA DO SUL;ITALIA;SHANGHAI;EUROPA;EUA;RIO DE JANEIRO;2.73;SIM
16/10/2024;2024;2;NOV;EXPO;da Mata;90.265.134/0001-27;FORNECEDOR;Aragão Lima - ME;Almeida S.A.;20.931.457/0001-27;AGENTE;BCO;Casa Grande Lima S/A;40.175.298/0001-95;40.175.298;REAL DONO;Martins Ribeiro - EI;14.627.059/0001-19;REAL DONO;YANG MING;87 - DESCRIÇÃO NCM2;8754 - DESCRIÇÃO NCM4;REF;EUROPA;JAPAO;TAIPEI;ECSA;EUA;SANTOS;1.29;NAO
03/11/2024;2024;3;NOV;EXPO;da Luz;71.302.645/0001-27;FORNECEDOR;Santos S/A;Lopes;13.498.207/0001-80;NVOCC;da Conceição Sousa S.A.;da Conceição Sousa S.A.;24.985.037/0001-84;24.985.037;FORNECEDOR;Abreu S.A.;82.510.693/0001-27;FORNECEDOR;CMA CGM;29 - DESCRIÇÃO NCM2;2919 - DESCRIÇÃO NCM4;REF;FAR EAST / JAP / SE ASIA;ITALIA;NINGBO;EUROPA;EUA;BUENOS AIRES;2.63;NAO
18/05/2025;2025;4;SET;IMPO;Melo Ltda.;43.021.798/0001-60;REAL DONO;Martins;Sampaio;64.389.752/0001-79;AGENTE;Montenegro;Montenegro;18.529.436/0001-38;18.529.436;REAL DONO;Carvalho Alves S/A;79.146.802/0001-64;REAL DONO;CMA CGM;64 - DESCRIÇÃO NCM2;6488 - DESCRIÇÃO NCM4;ISO;OCEANIA;JAPAO;NINGBO;AMERICA DO NORTE;ARGENTINA;SANTOS;3.7;SIM
28/06/2025;2025;3;MAR;EXPO;Farias Pinto S/A;03.754.612/0001-68;AGENTE;Z;Monteiro;78.562.413/0001-57;FORWARDER;da Cunha;da Cunha;89.510.274/0001-34;89.510.274;REAL DONO;Aparecida Camargo Ltda.;42.379.086/0001-55;FORNECEDOR;HAPAG-LLOYD;20 - DESCRIÇÃO NCM2;2028 - DESCRIÇÃO NCM4;REF;FAR EAST / JAP / SE ASIA;TAIWAN;SHANGHAI;EUROPA;ALEMANHA;ITAJAI;2.75;NAO
13/07/2025;2025;4;MAI;IMPO;Garcia;23.450.186/0001-86;FORNECEDOR;Almeida;Vasconcelos Ltda.;31.529.847/0001-91;AGENTE;Machado Cirino S/A;Machado Cirino S/A;98.574.601/0001-02;98.574.601;FORNECEDOR;Lima;83.095.742/0001-75;FORNECEDOR;MAERSK LINE;86 - DESCRIÇÃO NCM2;8658 - DESCRIÇÃO NCM4;ISO;AMERICA DO NORTE;TAIWAN;TAIPEI;EUROPA;URUGUAI;PARANAGUA;1.55;SIM
11/07/2025;2025;1;ABR;EXPO;Silveira Sá S/A;53.401.786/0001-15;FORNECEDOR;Z;Souza - ME;19.408.253/0001-27;NVOCC;Barros;Barros;13.082.647/0001-51;13.082.647;REAL DONO;Casa Grande e Filhos;86.712.534/0001-66;REAL DONO;HAPAG-LLOYD;10 - DESCRIÇÃO NCM2;1044 - DESCRIÇÃO NCM4;DRY;AMERICA DO SUL;EUA;TAIPEI;ECSA;ARGENTINA;BUENOS AIRES;1.76;NAO
16/03/2024;2024;3;ABR;IMPO;Campos;68.521.074/0001-07;REAL DONO;Martins;Abreu;34.265.879/0001-15;FORWARDER;Freitas Alves S.A.;Freitas Alves S.A.;39.207.458/0001-51;39.207.458;AGENTE;Siqueira S/A;61.974.825/0001-00;REAL DONO;COSCO;31 - DESCRIÇÃO NCM2;319 - DESCRIÇÃO NCM4;DRY;FAR EAST / JAP / SE ASIA;CHINA;BUSAN;AMERICA DO NORTE;ARGENTINA;ITAJAI;1.13;SIM
03/08/2025;2025;3;JUL;EXPO;Aparecida;17.456.092/0001-11;REAL DONO;Montenegro;Costela Cardoso S.A.;86.719.435/0001-06;FORWARDER;Rodrigues;Rodrigues;39.062.847/0001-36;39.062.847;FORNECEDOR;Sá Martins S.A.;35.128.740/0001-92;FORNECEDOR;YANG MING;92 - DESCRIÇÃO NCM2;9252 - DESCRIÇÃO NCM4;REF;EUROPA;ALEMANHA;TAIPEI;EUROPA;ALEMANHA;SANTOS;2.61;NAO
20/01/2025;2025;1;JAN;IMPO;Fogaça;63.910.274/0001-38;AGENTE;Z;Andrade;90.375.684/0001-07;AGENTE;Abreu;Abreu;19.075.263/0001-98;19.075.263;AGENTE;Gomes - ME;72.689.503/0001-27;REAL DONO;EVERGREEN;3 - DESCRIÇÃO NCM2;325 - DESCRIÇÃO NCM4;DRY;OCEANIA;COREIA DO SUL;BUSAN;ASIA;URUGUAI;MONTEVIDEU;0.21;NAO
